Course,OutsideElective,ArtsCourses,DiscreteStructures,LinearAlgebra,ProbabilityStatistics,Calculus,Foundations,Systems,Capstone,ArchitecturePath,DataPath,DesignPath,MLPath,SecurityPath,SoftwarePath,CompBioPath,SystemsPath,TheoryPath,VisualCompPath
CSCI2580,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2590,f,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f
CSCI2730,f,f,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f,g,f
CSCI2750,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,g,f
CSCI2820,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f,f
CSCI2950C,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2950E,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,g,f
CSCI2950G,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2950J,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,g
CSCI2950K,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f,g,f
CSCI2950L,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2950O,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2950P,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2950Q,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,g
CSCI2950R,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2950T,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f
CSCI2950U,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f
CSCI2950V,f,f,f,f,f,f,f,f,t,f,f,f,f,g,f,f,f,f,f
CSCI2950W,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2950X,f,f,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f
CSCI2950Z,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2951A,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2951B,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2951C,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f
CSCI2951D,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2951E,f,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f
CSCI2951F,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f
CSCI2951G,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2951H,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f,f,f
CSCI2951I,f,f,f,f,f,f,f,f,t,f,f,f,g,f,f,f,f,f,g
CSCI2951J,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2951K,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f
CSCI2951L,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2951M,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2951N,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2951O,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f,f,f
CSCI2951P,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2951Q,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,g,f
CSCI2951R,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2951S,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2951T,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2951U,f,f,f,f,f,f,f,f,f,f,f,f,f,g,g,f,f,f,f
CSCI2951V,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2951W,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f,g
CSCI2951X,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f
CSCI2951Y,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2951Z,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f
CSCI2952A,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2952B,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2952C,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f
CSCI2952D,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f
CSCI2952E,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f
CSCI2952F,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f
CSCI2952G,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f,g,f,f,f
CSCI2952H,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2952I,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2952J,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f,g,f,f
CSCI2952K,f,f,f,f,f,f,f,f,t,f,f,f,g,f,f,f,f,f,f
CSCI2952N,f,f,f,f,f,f,f,f,t,f,f,f,g,f,f,f,f,f,f
CSCI2952V,f,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f,f
CSCI2952L,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f
CSCI2955,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f
CSCI2956F,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2980,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
DATA0080,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
DATA0200,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
DATA1030,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
DATA1050,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
DATA2040,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
DATA2050,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
DATA2080,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
DEVL1810,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
ECON1110,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
ECON1130,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
ECON1160,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
ECON1490,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
ECON1620,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
ECON1630,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
ECON1640,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
ECON1660,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
ECON1870,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
EEPS1960D,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
